"Lat","Year","Month","WeekID","TIMESTAMP_START","Tem","Pre","LE","ustar","Hs","U","VPD","ETlv_mmday","ETlv_inweek","Rn","Gs","Gsref","PETpm_mmday","PETpm_inweek","PETpt_mmday","PETpt_inweek","ETpm_mmday","ETpm_inweek"
40.0062,"2000","01","01",2000-01-06,0.179761904761905,0.011884025,12.6466165413534,0.280605839416058,2.78985507246377,4.78366071428571,0.0076797619047619,0.437142065843618,0.120471981925843,7.01190476190476,0.19205052110732,NA,NA,NA,0.126152847534194,0.0347664632519486,0.437142065843618,0.120471981925843
40.0062,"2000","01","01",2000-01-13,0.489880952380952,0.000208491666666667,21.6903914590747,0.394304832713755,14.3802816901408,5.36488095238095,0.0174357142857143,0.749970571852431,0.206684389896811,6.69047619047619,0.0969069043145658,NA,NA,NA,0.121792987904767,0.0335649295366746,0.749970571852431,0.206684389896811
40.0062,"2000","01","01",2000-01-20,-7.27261904761905,0.001876425,17.125,0.2855,28.625,4.2425,0.00677857142857143,0.587760362600225,0.161980878328996,-2.10119047619048,0.163988822357366,NA,NA,NA,-0.0274101462482072,-0.00755396220454341,0.587760362600225,0.161980878328996
40.0062,"2000","01","01",2000-01-27,-10.9544642857143,0,6.58031088082902,0.308234042553191,9.95336787564767,4.33464285714286,0.00483958333333333,0.225062528647435,0.0620249822699465,-5.17857142857143,0.110880057607889,NA,NA,NA,-0.0560071253091479,-0.0154350036639481,0.225062528647435,0.0620249822699465
40.0062,"2000","02","02",2000-02-03,-4.96696428571429,0.000416983333333333,7.24285714285714,0.294847826086957,-0.491228070175439,4.55497023809524,0.00670029761904762,0.249132139247055,0.0686583262550958,-5.52380952380952,0.219190754016666,NA,NA,NA,-0.0802469152645836,-0.0221152473777666,0.249132139247055,0.0686583262550959
40.0062,"2000","02","02",2000-02-10,0.370833333333333,0.00291888333333333,9.54827586206897,0.265022364217252,6.90322580645161,4.08854166666667,0.00842589285714286,0.330105245742027,0.0909737046740453,16.3720238095238,0.063197152967556,NA,NA,NA,0.296698044804658,0.0817670141677157,0.330105245742027,0.0909737046740453
40.0062,"2000","02","02",2000-02-17,0.175,0.0239765416666667,17.005,0.36074537037037,23.0821917808219,4.86586309523809,0.00960089285714286,0.587790972848285,0.161989314207259,27.6785714285714,0.102300645726665,NA,NA,NA,0.497881419661326,0.137211140444465,0.587790972848285,0.161989314207259
40.0062,"2000","02","02",2000-02-24,11.1791696428571,0.01125855,38.5993265993266,0.435838095238095,7.56875,6.02505952380952,0.0332241071428571,1.3483791228212,0.371599802458294,37.4970238095238,0.0844244478727142,NA,NA,NA,0.952753588894419,0.262569361563413,1.3483791228212,0.371599802458294
40.0062,"2000","03","03",2000-03-02,6.02321428571429,0.00145944166666667,33.7837837837838,0.263668730650155,37.4910714285714,4.04392857142857,0.0384976190476191,1.17431820117331,0.323630353061353,60.6607142857143,0.0446009508091854,NA,NA,NA,1.33436945660595,0.367738878546034,1.17431820117331,0.323630353061353
40.0062,"2000","03","03",2000-03-09,7.27797619047619,0.000208491666666667,23.4267515923567,0.374706451612903,28.8854489164087,5.17151785714286,0.0437601190476191,0.815291632629489,0.224686221036361,45.8065476190476,0.0271250607256125,NA,NA,NA,1.04642801808159,0.288385097503105,0.815291632629489,0.224686221036361
